RD,RD
SHL,SHL
SHLS,SHLS
SHOAR,SHR
SHOARS,SHRS
SPG,SPG
SPGS,SPGS
SQ,SQ
SQRS,SQS
STA,STA
STRA,STRA
SMT,SMT
TER,TER
TUNEL,TUNL
TRNPK,TPKE
UN,UN
VDCT,VIA
VILL,VLG
VIS,VIS
WY,WAY
